"Dataset","Protein","GSM","SRR","Genotype","Treatment","Replicate","Input","Genome","SequencingStrategy","ReadLength","LibraryLayout","CellLine","Source_GSE"
"STAT1_STAT2","IRF9","GSM6928609",NA,"WT","IFNy_4h","1",NA,NA,"ChIP-Seq",NA,NA,"Huh7.5","GSE222667"
"STAT1_STAT2","IRF9","GSM6928610",NA,"WT","IFNy_4h","2",NA,NA,"ChIP-Seq",NA,NA,"Huh7.5","GSE222667"
"STAT1_STAT2","IRF9","GSM6928611",NA,"WT","IFNy_24h","1",NA,NA,"ChIP-Seq",NA,NA,"Huh7.5","GSE222667"
"STAT1_STAT2","IRF9","GSM6928612",NA,"WT","IFNy_24h","2",NA,NA,"ChIP-Seq",NA,NA,"Huh7.5","GSE222667"
"STAT1_STAT2","IRF9","GSM6928613",NA,"WT","IFNy_72h","1",NA,NA,"ChIP-Seq",NA,NA,"Huh7.5","GSE222667"
"STAT1_STAT2","IRF9","GSM6928614",NA,"WT","IFNy_72h","2",NA,NA,"ChIP-Seq",NA,NA,"Huh7.5","GSE222667"
"STAT1_STAT2","IRF1","GSM6928615",NA,"WT","UN","1",NA,NA,"ChIP-Seq",NA,NA,"Huh7.5","GSE222667"
"STAT1_STAT2","IRF1","GSM6928616",NA,"WT","UN","2",NA,NA,"ChIP-Seq",NA,NA,"Huh7.5","GSE222667"
"STAT1_STAT2","IRF1","GSM6928617",NA,"WT","IFNa_0_5h","1",NA,NA,"ChIP-Seq",NA,NA,"Huh7.5","GSE222667"
"STAT1_STAT2","IRF1","GSM6928618",NA,"WT","IFNa_0_5h","2",NA,NA,"ChIP-Seq",NA,NA,"Huh7.5","GSE222667"
"STAT1_STAT2","IRF1","GSM6928619",NA,"WT","IFNa_2h","1",NA,NA,"ChIP-Seq",NA,NA,"Huh7.5","GSE222667"
"STAT1_STAT2","IRF1","GSM6928620",NA,"WT","IFNa_2h","2",NA,NA,"ChIP-Seq",NA,NA,"Huh7.5","GSE222667"
"STAT1_STAT2","IRF1","GSM6928621",NA,"WT","IFNa_8h","1",NA,NA,"ChIP-Seq",NA,NA,"Huh7.5","GSE222667"
"STAT1_STAT2","IRF1","GSM6928622",NA,"WT","IFNa_8h","2",NA,NA,"ChIP-Seq",NA,NA,"Huh7.5","GSE222667"
"STAT1_STAT2","IRF1","GSM6928623",NA,"WT","IFNa_24h","1",NA,NA,"ChIP-Seq",NA,NA,"Huh7.5","GSE222667"
"STAT1_STAT2","IRF1","GSM6928624",NA,"WT","IFNa_24h","2",NA,NA,"ChIP-Seq",NA,NA,"Huh7.5","GSE222667"
"STAT1_STAT2","IRF1","GSM6928625",NA,"WT","IFNa_72h","1",NA,NA,"ChIP-Seq",NA,NA,"Huh7.5","GSE222667"
"STAT1_STAT2","IRF1","GSM6928626",NA,"WT","IFNa_72h","2",NA,NA,"ChIP-Seq",NA,NA,"Huh7.5","GSE222667"
"STAT1_STAT2","IRF1","GSM6928627",NA,"WT","IFNy_0_5h","1",NA,NA,"ChIP-Seq",NA,NA,"Huh7.5","GSE222667"
"STAT1_STAT2","IRF1","GSM6928628",NA,"WT","IFNy_0_5h","2",NA,NA,"ChIP-Seq",NA,NA,"Huh7.5","GSE222667"
"STAT1_STAT2","IRF1","GSM6928629",NA,"WT","IFNy_4h","1",NA,NA,"ChIP-Seq",NA,NA,"Huh7.5","GSE222667"
"STAT1_STAT2","IRF1","GSM6928630",NA,"WT","IFNy_4h","2",NA,NA,"ChIP-Seq",NA,NA,"Huh7.5","GSE222667"
"STAT1_STAT2","IRF1","GSM6928631",NA,"WT","IFNy_24h","1",NA,NA,"ChIP-Seq",NA,NA,"Huh7.5","GSE222667"
"STAT1_STAT2","IRF1","GSM6928632",NA,"WT","IFNy_24h","2",NA,NA,"ChIP-Seq",NA,NA,"Huh7.5","GSE222667"
"STAT1_STAT2","IRF1","GSM6928633",NA,"WT","IFNy_72h","1",NA,NA,"ChIP-Seq",NA,NA,"Huh7.5","GSE222667"
"STAT1_STAT2","IRF1","GSM6928634",NA,"WT","IFNy_72h","2",NA,NA,"ChIP-Seq",NA,NA,"Huh7.5","GSE222667"
"STAT1_STAT2","IRF9","GSM7899559",NA,"STAT1-KO","untreated","1",NA,NA,"ChIP-Seq",NA,NA,"Huh7.5","GSE247724"
"STAT1_STAT2","IRF9","GSM7899561",NA,"STAT1-KO","untreated","2",NA,NA,"ChIP-Seq",NA,NA,"Huh7.5","GSE247724"
"STAT1_STAT2","IRF9","GSM7899562",NA,"STAT1-KO","interferon alpha_2h","1",NA,NA,"ChIP-Seq",NA,NA,"Huh7.5","GSE247724"
"STAT1_STAT2","IRF9","GSM7899563",NA,"STAT1-KO","interferon alpha_2h","2",NA,NA,"ChIP-Seq",NA,NA,"Huh7.5","GSE247724"
"STAT1_STAT2","IRF9","GSM7899565",NA,"STAT1-KO","interferon alpha_24h","1",NA,NA,"ChIP-Seq",NA,NA,"Huh7.5","GSE247724"
"STAT1_STAT2","IRF9","GSM7899566",NA,"STAT1-KO","interferon alpha_24h","2",NA,NA,"ChIP-Seq",NA,NA,"Huh7.5","GSE247724"
"STAT1_STAT2","IRF9","GSM7899567",NA,"STAT1-KO","interferon alpha_72h","1",NA,NA,"ChIP-Seq",NA,NA,"Huh7.5","GSE247724"
"STAT1_STAT2","IRF9","GSM7899569",NA,"STAT1-KO","interferon alpha_72h","2",NA,NA,"ChIP-Seq",NA,NA,"Huh7.5","GSE247724"
